c_unit	u_name	dep_name
O02	เด็ก-HEMATO	สาขาวิชากุมารเวชศาสตร์
O03	เด็ก-INFECT	สาขาวิชากุมารเวชศาสตร์
O04	เด็ก-GI	สาขาวิชากุมารเวชศาสตร์
O05	เด็ก-HR	สาขาวิชากุมารเวชศาสตร์
O06	เด็ก-CARDIO	สาขาวิชากุมารเวชศาสตร์
O07	เด็ก-CHEST	สาขาวิชากุมารเวชศาสตร์
O10	เด็ก-ENDO	สาขาวิชากุมารเวชศาสตร์
O11	เด็ก ดี	สาขาวิชากุมารเวชศาสตร์
O13	อายุร กรรม	สาขาวิชาอายุรศาสตร์
O14	อายุร-CARDIO	สาขาวิชาอายุรศาสตร์
O15	อายุร-INFECT	สาขาวิชาอายุรศาสตร์
O16	อายุร-RHEUMATO	สาขาวิชาอายุรศาสตร์
O17	อายุร-NEPHRO	สาขาวิชาอายุรศาสตร์
O18	อายุร-NEURO	สาขาวิชาอายุรศาสตร์
O19	อายุร-CHEST	สาขาวิชาอายุรศาสตร์
O23	อายุร-ENDO	สาขาวิชาอายุรศาสตร์
O26	ศัลย กรรม	สาขาวิชาศัลยศาสตร์
O27	ศัลย-เด็ก	สาขาวิชาศัลยศาสตร์
O01	เด็ก .	สาขาวิชากุมารเวชศาสตร์
O31	นรีเวช-INFERTILE	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O33	นรีเวช-INFECT	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O34	นรีเวช-วางแผน	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O37	กระดูก และข้อ	สาขาวิชาออร์โธปิดิกส์
O39	ฟื้นฟู-ทั่วไป	สาขาวิชาเวชศาสตร์ฟื้นฟู
O40	กายภาพบำบัด	สาขาวิชาออร์โธปิดิกส์
O42	จิตเวช 2 (ผู้ใหญ่)	สาขาวิชาจิตเวชศาสตร์
O32	นรีเวช-ONCO	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O47	นอกเวลาอายุรกรรม	สาขาวิชาอายุรศาสตร์
O48	นอกเวลาเด็ก .	สาขาวิชากุมารเวชศาสตร์
O49	นอกเวลาตา	สาขาวิชาจักษุวิทยา
O50	นอกเวลาหูคอจมูก	สาขาวิชาโสต ศอ นาสิกวิทยา
O51	Ultrasound-ANC	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O52	เวชฯนิวเคลียร์	สาขาวิชารังสีวิทยา
O53	รังสีรักษา(ฉายแสง)	สาขาวิชารังสีวิทยา
O58	จิตเวช 1	สาขาวิชาจิตเวชศาสตร์
O59	ฟื้นฟู-กายอุปกรณ์	สาขาวิชาเวชศาสตร์ฟื้นฟู
O60	นอกเวลาจิตเวช	สาขาวิชาจิตเวชศาสตร์
O61	นอกเวลาทันตกรรม	ฝ่ายทันตกรรม
O36	หูคอจมูก	สาขาวิชาโสต ศอ นาสิกวิทยา
O41	ตา	สาขาวิชาจักษุวิทยา
O46	ฉุกเฉิน	สาขาวิชาเวชศาสตร์ฉุกเฉิน
O21	อายุร-GI	สาขาวิชาอายุรศาสตร์
O62	นอกเวลา-ฝากครรภ์นรีเ	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O64	ห้องผ่าตัด	สาขาวิชาวิสัญญีวิทยา
O65	เด็ก-ONCO	สาขาวิชากุมารเวชศาสตร์
O67	นอกเวลากายภาพฯ	สาขาวิชาออร์โธปิดิกส์
O68	ศัลย-สมอง/ไขสันหลัง	สาขาวิชาศัลยศาสตร์
O69	ศัลย-หัวใจ/ทรวงอก	สาขาวิชาศัลยศาสตร์
O71	ศัลย-ปากแหว่งฯ	สาขาวิชาศัลยศาสตร์
O73	ศัลย-ตกแต่ง	สาขาวิชาศัลยศาสตร์
O74	ศัลย-ONCO-URO	สาขาวิชาศัลยศาสตร์
O75	ศัลย-ระบบปัสสาวะ	สาขาวิชาศัลยศาสตร์
O76	หูคอจมูก-OTO	สาขาวิชาโสต ศอ นาสิกวิทยา
O77	หูคอจมูก-OTO-NEURO	สาขาวิชาโสต ศอ นาสิกวิทยา
O78	หูคอจมูก-TUMERCONF	สาขาวิชาโสต ศอ นาสิกวิทยา
