year,month,code_cl,sex,min_age,max_age,n
2021,10,O0J,female,23,74,29
2021,10,O0J,male,46,74,30
2021,10,O13,female,28,75,147
2021,10,O13,male,28,75,151
2021,10,O14,female,47,74,7
2021,10,O14,male,50,72,22
2021,10,O15,female,65,70,2
2021,10,O15,male,57,57,1
2021,10,O16,female,40,63,4
2021,10,O16,male,22,22,1
2021,10,O17,female,31,74,15
2021,10,O17,male,39,74,22
2021,10,O18,female,60,60,1
2021,10,O18,male,52,72,7
2021,10,O19,female,69,69,1
2021,10,O19,male,65,74,4
2021,10,O1D,female,52,52,1
2021,10,O1D,male,59,71,2
2021,10,O1S,male,66,66,2
2021,10,O1U,male,61,63,2
2021,10,O20,female,62,68,3
2021,10,O20,male,36,68,3
2021,10,O21,female,42,70,11
2021,10,O21,male,42,68,9
2021,10,O23,female,36,74,30
2021,10,O23,male,31,74,34
2021,10,O2G,female,33,73,19
2021,10,O2G,male,39,74,22
2021,10,O47,female,46,75,54
2021,10,O47,male,36,75,73
2021,10,OB6,female,66,72,3
2021,10,OB6,male,54,55,2
2021,10,OB8,female,52,68,14
2021,10,OB8,male,49,74,27
2021,10,OC4,female,63,68,6
2021,10,OC4,male,48,70,2
2021,10,OE6,female,48,75,5
2021,10,OE6,male,48,67,10
2021,10,OF2,female,67,74,2
2021,10,OF2,male,46,71,5
2021,10,OG1,female,34,74,31
2021,10,OG1,male,41,75,23
2021,10,OG5,female,65,72,3
2021,10,OG5,male,46,67,3
2021,10,OI3,male,66,70,2
2021,10,OJ3,female,32,54,3
2021,10,OJ3,male,49,75,6
2021,10,OL7,male,61,66,2
2021,10,ON2,female,59,59,1
2021,10,OO4,female,29,75,27
2021,10,OO4,male,31,74,25
2021,10,OO9,female,71,71,1
2021,10,OO9,male,50,57,4
2021,10,OV4,female,48,67,4
2021,10,OV4,male,24,74,7
2021,11,O0J,female,20,75,32
2021,11,O0J,male,39,74,41
2021,11,O13,female,18,75,135
2021,11,O13,male,24,75,157
2021,11,O14,female,59,74,6
2021,11,O14,male,47,72,17
2021,11,O15,female,62,62,1
2021,11,O15,male,49,74,5
2021,11,O16,female,54,54,1
2021,11,O17,female,41,73,5
2021,11,O17,male,32,73,10
2021,11,O18,female,51,74,5
2021,11,O18,male,64,71,4
2021,11,O19,female,52,52,1
2021,11,O1U,male,62,68,3
2021,11,O20,female,57,73,7
2021,11,O20,male,54,68,3
2021,11,O21,female,46,74,10
2021,11,O21,male,50,69,9
2021,11,O23,female,35,75,51
2021,11,O23,male,48,75,27
2021,11,O2G,female,32,66,16
2021,11,O2G,male,39,74,20
2021,11,O47,female,24,75,54
2021,11,O47,male,37,73,69
2021,11,OB6,female,60,70,5
2021,11,OB6,male,53,53,2
2021,11,OB8,female,52,75,11
2021,11,OB8,male,43,75,17
2021,11,OC4,male,50,50,1
2021,11,OC8,female,56,56,1
2021,11,OE6,female,47,75,6
2021,11,OE6,male,39,74,12
2021,11,OF2,female,59,72,2
2021,11,OF2,male,43,71,4
2021,11,OG1,female,22,74,39
2021,11,OG1,male,32,71,19
2021,11,OG5,female,65,65,1
2021,11,OG5,male,48,66,5
2021,11,OI3,female,68,68,1
2021,11,OJ3,female,49,55,2
2021,11,OJ3,male,65,65,1
2021,11,ON2,female,68,68,1
2021,11,ON2,male,58,58,1
2021,11,OO3,male,60,69,2
2021,11,OO4,female,30,73,26
2021,11,OO4,male,47,74,20
2021,11,OO9,female,57,64,2
2021,11,OO9,male,51,64,4
2021,11,OV4,female,57,67,3
2021,11,OV4,male,47,75,5
2021,12,O0J,female,32,74,34
2021,12,O0J,male,38,75,42
2021,12,O13,female,22,75,162
2021,12,O13,male,28,75,157
2021,12,O14,female,54,74,8
2021,12,O14,male,47,73,19
2021,12,O15,female,53,53,1
2021,12,O15,male,69,69,1
2021,12,O16,female,63,65,2
2021,12,O17,female,45,73,19
2021,12,O17,male,39,72,15
2021,12,O18,male,56,69,4
2021,12,O19,female,53,74,2
2021,12,O19,male,32,70,3
2021,12,O1S,male,72,72,2
2021,12,O1U,female,71,71,1
2021,12,O1U,male,62,68,3
2021,12,O20,female,59,73,10
2021,12,O20,male,59,72,5
2021,12,O21,female,46,68,12
2021,12,O21,male,48,67,7
2021,12,O23,female,30,74,57
2021,12,O23,male,36,73,43
2021,12,O2G,female,39,75,12
2021,12,O2G,male,37,72,19
2021,12,O47,female,37,75,56
2021,12,O47,male,36,75,52
2021,12,OB6,female,33,70,7
2021,12,OB6,male,65,65,1
2021,12,OB8,female,44,72,14
2021,12,OB8,male,53,74,18
2021,12,OC4,female,67,67,1
2021,12,OC8,female,67,70,2
2021,12,OE6,female,70,74,4
2021,12,OE6,male,42,72,8
2021,12,OF2,female,39,74,5
2021,12,OF2,male,54,70,6
2021,12,OG1,female,22,75,29
2021,12,OG1,male,34,73,32
2021,12,OG5,female,67,72,3
2021,12,OG5,male,56,56,1
2021,12,OI3,male,70,70,1
2021,12,OJ3,female,67,67,1
2021,12,OJ3,male,39,74,5
2021,12,OO4,female,44,75,37
2021,12,OO4,male,42,74,24
2021,12,OO9,female,56,58,2
2021,12,OO9,male,63,63,1
2021,12,OV4,female,62,67,2
2021,12,OV4,male,69,74,4
2022,1,O0J,female,38,75,32
2022,1,O0J,male,33,75,48
2022,1,O13,female,22,75,156
2022,1,O13,male,24,75,183
2022,1,O14,female,42,74,6
2022,1,O14,male,54,73,11
2022,1,O15,female,52,68,2
2022,1,O15,male,54,66,3
2022,1,O16,female,42,70,3
2022,1,O17,female,26,66,10
2022,1,O17,male,39,73,13
2022,1,O18,female,47,74,5
2022,1,O18,male,64,64,2
2022,1,O19,female,69,73,2
2022,1,O19,male,61,72,5
2022,1,O1S,male,66,66,2
2022,1,O1U,female,71,74,2
2022,1,O1U,male,61,68,6
2022,1,O20,female,45,64,2
2022,1,O20,male,36,68,5
2022,1,O21,female,43,70,12
2022,1,O21,male,42,74,9
2022,1,O23,female,32,72,52
2022,1,O23,male,23,73,44
2022,1,O2G,female,43,73,15
2022,1,O2G,male,48,70,18
2022,1,O47,female,40,75,50
2022,1,O47,male,35,74,66
2022,1,OB6,female,68,68,1
2022,1,OB6,male,57,63,2
2022,1,OB8,female,47,72,16
2022,1,OB8,male,49,74,16
2022,1,OC4,female,50,63,4
2022,1,OC8,male,54,68,4
2022,1,OE6,female,68,75,4
2022,1,OE6,male,39,74,14
2022,1,OF2,female,61,69,2
2022,1,OF2,male,45,73,7
2022,1,OG1,female,34,75,28
2022,1,OG1,male,36,75,33
2022,1,OG5,female,61,65,2
2022,1,OG5,male,48,67,7
2022,1,OH7,female,65,65,1
2022,1,OJ3,female,55,68,4
2022,1,OJ3,male,49,64,3
2022,1,OL7,female,71,71,1
2022,1,OO4,female,30,71,28
2022,1,OO4,male,31,74,38
2022,1,OO9,female,59,59,1
2022,1,OO9,male,64,64,1
2022,1,OV4,male,47,73,6
2022,2,O0J,female,47,73,23
2022,2,O0J,male,40,75,37
2022,2,O13,female,24,75,144
2022,2,O13,male,25,75,159
2022,2,O14,female,57,74,10
2022,2,O14,male,48,73,11
2022,2,O15,female,53,57,2
2022,2,O16,female,59,65,3
2022,2,O17,female,35,73,14
2022,2,O17,male,32,73,10
2022,2,O18,male,64,70,7
2022,2,O19,female,58,70,2
2022,2,O19,male,71,72,2
2022,2,O1S,male,67,72,2
2022,2,O1U,female,72,74,2
2022,2,O1U,male,64,68,3
2022,2,O20,female,58,64,4
2022,2,O20,male,49,68,5
2022,2,O21,female,55,75,12
2022,2,O21,male,62,74,2
2022,2,O23,female,25,74,36
2022,2,O23,male,36,75,29
2022,2,O2G,female,20,74,16
2022,2,O2G,male,33,74,22
2022,2,O47,female,40,75,67
2022,2,O47,male,42,75,64
2022,2,O4U,female,28,37,2
2022,2,OB6,female,57,70,5
2022,2,OB8,female,42,74,17
2022,2,OB8,male,43,74,25
2022,2,OC4,female,50,50,1
2022,2,OC8,male,59,59,1
2022,2,OE6,female,51,74,5
2022,2,OE6,male,51,68,6
2022,2,OF2,female,54,74,3
2022,2,OF2,male,46,63,6
2022,2,OG1,female,22,75,22
2022,2,OG1,male,31,75,23
2022,2,OG5,female,67,72,2
2022,2,OG5,male,46,67,10
2022,2,OJ3,female,49,59,3
2022,2,OJ3,male,49,72,3
2022,2,OL7,female,55,55,1
2022,2,OL7,male,53,61,2
2022,2,OO4,female,35,75,31
2022,2,OO4,male,39,74,32
2022,2,OO9,female,57,71,3
2022,2,OO9,male,57,59,2
2022,2,OV4,female,57,67,5
2022,2,OV4,male,47,75,3
2022,3,O0J,female,38,74,35
2022,3,O0J,male,30,74,31
2022,3,O13,female,22,75,156
2022,3,O13,male,27,75,152
2022,3,O14,female,62,75,4
2022,3,O14,male,47,72,11
2022,3,O15,female,53,62,3
2022,3,O15,male,57,57,1
2022,3,O16,female,63,63,1
2022,3,O16,male,22,22,1
2022,3,O17,female,31,74,17
2022,3,O17,male,39,74,20
2022,3,O18,female,60,60,1
2022,3,O18,male,64,66,2
2022,3,O19,female,69,71,2
2022,3,O19,male,60,72,4
2022,3,O1S,male,66,72,2
2022,3,O1U,female,71,71,1
2022,3,O1U,male,61,68,3
2022,3,O20,female,45,73,8
2022,3,O20,male,59,68,5
2022,3,O21,female,56,72,10
2022,3,O21,male,20,69,14
2022,3,O23,female,32,74,67
2022,3,O23,male,49,75,37
2022,3,O2G,female,43,75,24
2022,3,O2G,male,32,74,28
2022,3,O47,female,24,75,59
2022,3,O47,male,35,74,76
2022,3,O4U,female,37,37,1
2022,3,O4U,male,33,50,3
2022,3,OB6,female,33,69,5
2022,3,OB6,male,54,69,3
2022,3,OB8,female,54,74,8
2022,3,OB8,male,51,72,23
2022,3,OC4,female,50,50,2
2022,3,OC4,male,73,73,1
2022,3,OC8,male,59,68,3
2022,3,OE6,female,47,75,6
2022,3,OE6,male,39,74,5
2022,3,OF2,female,61,74,2
2022,3,OF2,male,51,68,5
2022,3,OG1,female,34,74,41
2022,3,OG1,male,32,73,25
2022,3,OG5,male,53,63,4
2022,3,OJ3,female,32,67,6
2022,3,OJ3,male,39,75,7
2022,3,OL7,female,64,64,1
2022,3,OL7,male,61,66,2
2022,3,OO4,female,29,73,33
2022,3,OO4,male,34,74,33
2022,3,OO9,male,50,60,3
2022,3,OV4,female,53,67,4
2022,3,OV4,male,24,74,5
2022,4,O0J,female,38,73,36
2022,4,O0J,male,43,75,45
2022,4,O13,female,22,75,139
2022,4,O13,male,27,75,151
2022,4,O14,female,66,70,2
2022,4,O14,male,54,73,24
2022,4,O15,female,45,65,2
2022,4,O15,male,33,66,5
2022,4,O16,female,65,65,1
2022,4,O17,female,41,71,14
2022,4,O17,male,48,73,13
2022,4,O18,female,51,74,3
2022,4,O18,male,52,71,7
2022,4,O19,female,58,58,1
2022,4,O19,male,53,53,1
2022,4,O1S,male,66,72,3
2022,4,O1U,male,62,68,2
2022,4,O20,female,45,64,3
2022,4,O20,male,54,73,5
2022,4,O21,female,39,74,7
2022,4,O21,male,20,69,3
2022,4,O23,female,34,74,39
